Instance	direct	direct-wdeg	direct-domoverwdeg	positional	positional-wdeg	positional-domoverwdeg	combined-symD-branchD-consD	combined-symD-branchD-consFull	combined-symD-branchD-consP	combined-symD-branchP-consD	combined-symD-branchP-consFull	combined-symD-branchP-consP	combined-symP-branchD-consD	combined-symP-branchD-consFull	combined-symP-branchD-consP	combined-symP-branchP-consD	combined-symP-branchP-consFull	combined-symP-branchP-consP	
Sum	302,875,642	347,643,841	645,777,253	345,928,068	173,095,856	221,716,744	167,280,683	76,366,122	76,366,158	342,696,082	281,311,199	364,679,833	92,322,853	78,613,736	78,613,763	268,318,310	316,398,628	345,927,499	
Mean	8,185,828.16	7,396,677.47	14,038,635.93	4,674,703.62	2,472,797.94	3,079,399.22	4,646,685.64	991,767.82	1,004,817.87	6,993,797.59	3,907,099.99	4,928,105.85	2,715,378.03	1,020,957.61	1,020,957.96	5,475,883.88	4,334,227.78	4,674,695.93	
02_02	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	
02_03	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
02_04	1	1	1	1	1	1	1	1	1	1	1	1	11	1	1	11	1	1	
02_05	162	79	210	0	0	0	128	0	0	94	0	0	174	0	0	89	0	0	
02_06	1,725	649	2,540	18	12	15	1,698	28	28	514	50	50	1,833	0	12	456	0	18	
02_07	21,886	5,425	24,464	253	190	214	21,768	160	160	3,205	258	258	23,953	163	163	2,582	253	253	
02_08	282,092	42,650	247,825	1,256	855	1,026	281,300	730	730	19,573	1,323	1,323	317,464	740	740	16,792	1,256	1,256	
02_09	4,119,818	391,893	3,125,956	6,437	3,868	4,112	4,113,034	3,015	3,015	132,640	6,701	6,701	4,478,792	3,075	3,075	113,389	6,437	6,437	
02_10	66,056,254	4,429,775	38,931,277	40,235	22,175	23,064	65,970,527	16,526	16,526	964,484	41,481	41,481	68,623,730	16,758	16,758	829,179	40,235	40,235	
03_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
