Instance	combined-symD-branchD-consD	combined-symD-branchD-consFull	combined-symD-branchD-consP	combined-symD-branchP-consD	combined-symD-branchP-consFull	combined-symD-branchP-consP	combined-symP-branchD-consD	combined-symP-branchD-consFull	combined-symP-branchD-consP	combined-symP-branchP-consD	combined-symP-branchP-consFull	combined-symP-branchP-consP	direct-domoverwdeg	direct-wdeg	direct	positional-domoverwdeg	positional-wdeg	positional	
Sum	590,451	264.09	14,557.86	374,504.04	72,234.88	43,354.06	619,246.76	264	160.82	403,297.74	57,839.97	43,353.74	432,065.27	432,062.34	576,037.93	72,042.45	100,841.15	43,250.64	
Mean	7,668.19	3.43	189.06	4,863.69	938.12	563.04	8,042.17	3.43	2.09	5,237.63	751.17	563.04	5,611.24	5,611.20	7,481.01	935.62	1,309.63	561.70	
02_02	0.42	0.42	-	0.36	0.32	0.42	0.38	0.37	0.43	0.34	0.33	0.41	0.62	0.54	0.25	0.53	0.66	0.22	
02_03	0.66	0.68	0.50	0.64	0.71	0.57	0.70	0.70	0.53	0.69	0.72	0.50	0.70	0.74	0.47	0.67	0.63	0.28	
02_04	0.82	0.88	0.63	0.81	0.89	0.60	1.09	0.87	0.61	1.06	0.92	0.65	0.81	0.80	0.55	0.64	0.70	0.32	
02_05	1.24	1.05	0.65	1.18	1.06	0.73	1.25	1.04	0.77	1.23	1.01	0.75	0.96	0.97	0.98	0.65	0.70	0.38	
02_06	1.39	1.42	0.90	1.65	1.61	1.04	1.49	1.30	0.96	1.58	1.32	1.09	1.22	1.21	1.22	0.41	0.45	0.43	
02_07	1.75	1.72	1	1.76	1.87	1.07	1.79	1.88	1.09	1.92	1.86	1.22	1.41	1.30	1.51	0.55	0.40	0.42	
02_08	1.85	1.94	1.24	1.87	2.01	1.16	1.87	2.13	1.29	1.96	2.11	1.18	1.52	1.51	1.68	0.52	0.53	0.39	
02_09	2.24	2.27	1.09	2.30	2.09	1.46	2.14	2.07	1.21	2.10	2.14	1.35	1.73	1.68	1.68	0.56	0.56	0.47	
02_10	2.21	2.38	1.20	2.26	2.21	1.41	2.28	2.32	1.27	2.19	2.15	1.16	1.70	1.69	1.67	0.47	0.41	0.40	
