Instance	combined-symD-branchD-consD	combined-symD-branchD-consFull	combined-symD-branchD-consP	combined-symD-branchP-consD	combined-symD-branchP-consFull	combined-symD-branchP-consP	combined-symP-branchD-consD	combined-symP-branchD-consFull	combined-symP-branchD-consP	combined-symP-branchP-consD	combined-symP-branchP-consFull	combined-symP-branchP-consP	direct-domoverwdeg	direct-wdeg	direct	positional-domoverwdeg	positional-wdeg	positional	
Sum	604,809.63	10,216.31	21,600.48	442,223.97	116,153.40	98,960.62	625,602.78	10,408.28	7,408.28	433,207.67	112,334.69	93,757.56	471,487.46	447,901.86	583,024.23	85,884.58	111,032.86	64,982.18	
Mean	7,854.67	132.68	280.53	5,743.17	1,508.49	1,285.20	8,124.71	135.17	96.21	5,626.07	1,458.89	1,217.63	6,123.21	5,816.91	7,571.74	1,115.38	1,441.99	843.92	
02_02	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
02_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
02_04	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	
02_05	0.01	0	0	0.01	0	0	0.01	0	0	0.01	0	0	0.01	0	0	0	0	0	
02_06	0.12	0.01	0.01	0.04	0.02	0.01	0.12	0	0.01	0.03	0	0.01	0.06	0.02	0.04	0	0	0	
02_07	1.47	0.03	0.01	0.20	0.04	0.02	1.58	0.03	0.01	0.15	0.03	0.02	0.60	0.13	0.41	0	0	0.01	
02_08	18.65	0.06	0.04	1.31	0.13	0.08	20.69	0.07	0.04	0.99	0.12	0.08	6.42	1.11	6.15	0.02	0.02	0.02	
02_09	253.98	0.23	0.16	8.14	0.55	0.36	286.99	0.26	0.18	6.65	0.57	0.36	86.62	11.73	86.14	0.09	0.09	0.13	
02_10	4,138.08	1.28	0.82	57.11	3.23	2.57	4,385.10	1.24	0.91	47.75	3.23	2.08	1,190.77	136.87	1,453.76	0.51	0.52	0.73	
03_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03_04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03_05	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0	0	0	0	
03_06	0.39	0	0	0.16	0	0	0.86	0	0	0.12	0	0	0.03	0.02	0.09	0	0	0	
03_07	18.87	0.04	0.02	0.74	0.04	0.02	31.26	0.03	0.01	0.54	0.04	0.02	0.30	0.19	4.97	0	0	0	
03_08	968.82	0.05	0.03	4.98	0.10	0.06	1,258.69	0.06	0.03	4.33	0.10	0.06	4.29	2.10	263.10	0.01	0.01	0.02	
04_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04_04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04_05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04_06	0	0	0	0	0	0	2.35	0	0	0.27	0	0	0	0	0	0	0	0	
04_07	80.37	0	0	3.01	0	0	177.48	0	0	2.38	0	0	0.25	0.16	16.84	0	0	0	
