Instance	branch:D sym:D cons:D	branch:D sym:D cons:Both	branch:D sym:D cons:P	branch:P sym:D cons:D	branch:P sym:D cons:Both	branch:P sym:D cons:P	SDF sym:D	branch:D sym:P cons:D	branch:D sym:P cons:Both	branch:D sym:P cons:P	branch:P sym:P cons:D	branch:P sym:P cons:Both	branch:P sym:P cons:P	SDF sym:P	Direct domoverwdeg	Direct wdeg	Direct	Positional domoverwdeg	Positional wdeg	Positional	
Sum	604,860.64	10,480.40	21,758.35	442,318.53	116,388.29	99,114.67	10,854.66	625,649.54	10,672.28	7,569.10	433,305.41	112,574.67	93,911.30	238,531.40	471,549.65	447,964.20	583,062.16	13,948.46	24,714.63	65,032.82	
Mean	7,855.33	136.11	282.58	5,744.40	1,511.54	1,287.20	140.97	8,125.32	138.60	98.30	5,627.34	1,462.01	1,219.63	3,097.81	6,124.02	5,817.72	7,572.24	181.15	320.97	844.58	
02_02	0.42	0.43	-	0.36	0.32	0.42	0.38	0.38	0.37	0.43	0.34	0.34	0.41	0.40	0.62	0.54	0.25	0.53	0.66	0.22	
02_03	0.66	0.68	0.50	0.64	0.71	0.57	0.79	0.70	0.70	0.53	0.69	0.72	0.50	0.78	0.70	0.74	0.47	0.67	0.63	0.28	
02_04	0.82	0.88	0.63	0.81	0.89	0.60	0.91	1.09	0.87	0.61	1.06	0.92	0.65	1.05	0.81	0.80	0.55	0.64	0.70	0.32	
02_05	1.25	1.05	0.65	1.19	1.07	0.74	1.34	1.26	1.04	0.77	1.24	1.01	0.76	1.33	0.96	0.98	0.98	0.65	0.70	0.38	
02_06	1.51	1.43	0.90	1.69	1.63	1.05	1.70	1.60	1.31	0.97	1.61	1.32	1.10	1.24	1.27	1.22	1.26	0.41	0.45	0.43	
02_07	3.21	1.75	1.02	1.96	1.90	1.10	2.03	3.36	1.91	1.11	2.07	1.89	1.24	1.97	2.01	1.43	1.92	0.55	0.40	0.42	
02_08	20.50	2.01	1.28	3.18	2.14	1.23	2.10	22.56	2.19	1.33	2.95	2.23	1.25	2.16	7.94	2.62	7.84	0.54	0.55	0.41	
02_09	256.22	2.50	1.25	10.44	2.63	1.82	2.58	289.12	2.33	1.39	8.75	2.71	1.71	2.63	88.34	13.41	87.82	0.65	0.66	0.61	
02_10	4,140.29	3.66	2.02	59.37	5.45	3.98	3.61	4,387.38	3.56	2.18	49.95	5.37	3.24	5.80	1,192.47	138.56	1,455.43	0.98	0.93	1.13	
03_02	0.34	0.33	0.53	0.33	0.32	0.52	0.35	0.31	0.34	0.52	0.32	0.32	0.51	0.29	0.51	0.41	0.27	0.27	0.25	0.28	
03_03	0.53	0.51	0.60	0.50	0.53	0.66	0.57	0.53	0.53	0.60	0.49	0.50	0.63	0.55	0.42	0.37	0.38	0.30	0.28	0.27	
03_04	0.98	0.98	0.71	1.02	1.04	0.74	1.01	1.05	1.02	0.76	1.03	1.06	0.74	1.36	0.74	0.69	0.69	0.31	0.30	0.31	
03_05	1.25	1.31	0.82	1.31	1.19	0.88	1.25	1.51	1.17	0.82	1.50	1.17	0.88	1.22	0.92	0.93	0.86	0.35	0.35	0.33	
03_06	2.11	1.39	0.91	1.92	1.34	0.91	1.46	2.58	1.39	0.91	1.85	1.43	0.94	1.42	1.35	1.39	1.34	0.42	0.38	0.36	
03_07	20.86	2.15	1.30	2.69	2.13	1.26	2.15	33.27	2.23	1.45	2.47	2.12	1.30	2.18	1.78	1.67	6.46	0.48	0.48	0.48	
03_08	971.14	2.28	1.51	7.06	2.47	1.50	2.52	1,261.12	2.37	1.51	6.66	2.39	1.71	2.41	6	3.73	264.69	0.57	0.56	0.63	
04_02	0.35	0.37	0.62	0.35	0.36	0.64	0.39	0.35	0.36	0.62	0.35	0.38	0.65	0.39	0.31	0.32	0.33	0.26	0.26	0.28	
04_03	0.46	0.47	0.98	0.45	0.47	0.80	0.52	0.44	0.47	0.78	0.57	0.48	0.80	0.49	0.43	0.42	0.43	0.33	0.35	0.32	
04_04	0.80	0.81	0.93	0.82	0.85	1.03	0.91	0.81	0.82	0.96	0.83	0.82	0.94	0.94	0.56	0.56	0.55	0.33	0.37	0.31	
04_05	1.49	1.43	1.03	1.48	1.45	1.03	1.59	1.46	1.63	1.05	1.57	1.49	1.01	1.50	0.97	1.03	1.06	0.39	0.38	0.37	
04_06	1.71	1.70	1.20	1.69	1.72	1.16	1.61	4.49	1.58	1.16	2.33	1.60	1.13	1.75	1.17	1.22	1.19	0.40	0.40	0.39	
04_07	82.97	2.22	1.31	5.75	2.98	1.41	2.16	180.38	2.23	1.44	5.04	2.13	1.29	2.21	1.99	1.93	18.47	0.44	0.42	0.45	
04_08	8,931.97	2.54	2.18	27.52	2.61	2.23	2.73	-	3.50	2.15	21.99	3.30	2.25	3.41	7.46	4.94	1,906.57	0.56	0.58	0.61	
05_02	0.40	0.53	0.76	0.43	0.45	0.79	0.43	0.41	0.45	0.78	0.38	0.42	0.79	0.41	0.41	0.39	0.35	0.32	0.32	0.26	
05_03	0.53	0.58	0.91	0.63	0.52	0.92	0.54	0.55	0.55	0.98	0.54	0.56	0.93	0.62	0.50	0.54	0.49	0.35	0.38	0.34	
05_04	0.70	0.66	1.10	0.69	0.67	1.19	0.69	0.85	0.73	1.18	0.66	0.73	1.10	0.68	0.60	0.59	0.59	0.39	0.42	0.37	
05_05	1.11	1.20	1.26	1.19	1.16	1.28	1.29	1.10	1.22	1.25	1.20	1.24	1.36	1.35	0.80	0.79	0.89	0.44	0.42	0.41	
05_06	2.38	2.43	1.47	2.37	2.44	1.54	2.44	2.40	2.51	1.51	2.34	2.42	1.52	2.45	1.35	1.34	1.30	0.45	0.47	0.64	
05_07	2.54	2.74	1.80	2.73	2.59	1.86	2.97	241	2.86	1.93	13.99	2.56	1.92	2.65	1.59	1.56	1.52	0.49	0.54	0.48	
06_02	0.60	0.49	0.94	0.49	0.56	0.90	0.50	0.48	0.50	0.97	0.48	0.50	0.90	0.56	0.40	0.45	0.41	0.33	0.33	0.34	
06_03	0.61	0.69	1.10	0.64	0.63	1.10	0.78	0.61	0.62	1.12	0.70	0.64	1.15	0.77	0.57	0.54	0.60	0.40	0.37	0.38	
06_04	0.82	0.73	1.38	0.79	0.81	1.35	0.78	0.74	0.75	1.33	0.75	0.76	1.34	0.78	0.92	0.67	0.66	0.41	0.45	0.42	
06_05	0.84	0.86	1.83	0.86	0.87	1.92	0.84	0.86	0.87	1.88	0.86	0.86	1.93	0.91	0.82	0.77	0.74	0.46	0.49	0.49	
06_06	1.64	1.56	1.94	1.66	1.69	1.93	1.69	1.62	1.64	1.92	1.71	1.60	1.86	1.70	1.07	1.04	0.99	0.51	0.53	0.49	
06_07	3.36	3.25	2.22	3.04	3.32	2.08	3.86	3.14	2.83	2.30	3.05	3.21	2.28	3.31	1.71	1.65	1.76	0.63	0.55	0.55	
06_08	3.29	3.38	2.14	3.16	3.35	2.08	3.32	-	3.63	2.09	549.31	3.55	2.03	3.60	2.14	1.99	1.98	0.61	0.58	0.61	
02_11	-	10.15	6.82	451.88	26.60	18.17	10.06	-	10.16	6.51	387.71	26.81	16.48	22.36	13,328.36	1,217.06	-	3.84	3.94	6.26	
02_12	-	55.28	36.74	3,854.50	186.02	127.09	47.08	-	54.56	36.86	3,332.26	173.57	118.78	126.37	-	-	-	22.80	24.41	41.53	
02_13	-	342.79	235.62	-	1,485.89	1,024.23	275.18	-	340.28	236.11	-	1,402.75	973.36	853.88	-	-	-	155.23	180.62	346.85	
02_14	-	2,637.27	1,826.51	-	13,304.54	9,214.40	2,148.89	-	2,642.28	1,850.07	-	12,618.23	8,780.09	6,583.99	-	-	-	1,236.78	1,449.23	3,154.12	
03_09	-	2.72	1.62	32.42	3.01	1.72	2.95	-	3.48	1.65	24.17	3.06	1.69	6.27	64.59	88.28	-	0.57	0.57	1.55	
03_10	-	4.28	1.87	193.01	4.37	2.78	3.41	-	3.34	1.80	146.96	4.32	2.57	22.85	1,407.78	1,095.25	-	0.64	0.67	0.85	
03_11	-	3.87	2.20	1,355.12	9.27	6.51	3.97	-	4.14	2.34	1,000.04	9.59	6.36	240.80	-	9,172.22	-	0.89	1.37	2.76	
03_12	-	6.01	3.79	9,771.21	41.65	31.14	5.52	-	6.12	4.08	7,343.83	41.04	30.48	1,638.29	-	-	-	2.27	3.87	12.30	
03_13	-	12.72	8.95	-	256.11	194.66	11.65	-	13.41	9.15	-	245.13	185.11	11,664.55	-	-	-	8.86	19.04	72.33	
03_14	-	45.85	32.13	-	1,724.25	1,300.51	41.33	-	47.19	34.37	-	1,660.78	1,252.22	-	-	-	-	44.13	112.74	501	
03_15	-	206.69	148.98	-	12,793.13	9,658.61	204.13	-	212.83	154.65	-	12,116.50	9,156.29	-	-	-	-	255.96	695.53	3,566.81	
03_16	-	1,048.23	747.43	-	-	-	1,092.76	-	1,106.43	793.80	-	-	-	-	-	-	-	1,565.40	5,035.60	-	
03_17	-	5,665.84	4,020.02	-	-	-	6,472.03	-	5,724.16	4,105.02	-	-	-	-	-	-	-	9,916.04	-	-	
04_09	-	3.58	2.50	176.28	3.61	2.58	3.70	-	3.56	2.40	134.58	3.88	2.58	3.92	283.14	106.74	-	0.65	0.64	0.72	
04_10	-	3.91	2.56	1,132.98	4.81	3.12	3.85	-	3.74	2.54	801.29	4.48	2.96	5.99	-	3,310.45	-	0.65	0.67	0.94	
04_11	-	4.21	2.73	8,312.34	6.87	4.82	4.43	-	4.32	2.56	5,613.97	6.58	4.29	44.09	-	-	-	0.79	0.90	1.46	
04_12	-	4.58	2.94	-	17.66	13.17	4.89	-	5.04	2.99	-	16.29	11.36	537.34	-	-	-	1.05	1.48	4.45	
04_13	-	6	4.01	-	70.48	53.11	6.32	-	6.15	3.89	-	62.91	48.12	9,535.25	-	-	-	2.01	3.53	20.75	
04_14	-	9.13	5.04	-	430.46	324.42	9.05	-	9.66	5.81	-	386.18	292.47	-	-	-	-	5.85	14.19	126.43	
04_15	-	16.04	10.70	-	2,481.61	1,874.85	18.48	-	19.22	12.57	-	2,257.04	1,666.58	-	-	-	-	23.34	58.70	730.55	
04_16	-	41.65	28.53	-	-	11,546.36	53.31	-	51.80	36.03	-	13,667.93	10,055.52	-	-	-	-	99.53	341.56	4,433.83	
04_17	-	143.38	98.10	-	-	-	210.65	-	183.59	126.46	-	-	-	-	-	-	-	480.52	2,108.30	-	
05_08	-	2.97	2	100.53	3.02	1.92	2.90	-	3.22	2.15	94.49	2.70	1.97	2.83	3.61	3.06	3,290.08	0.53	0.59	0.55	
